2h,20h,40h,60h,material,heatsink,StableOrNot
1.0001,0.99859,0.99561,0.9916,2,0,0
1.0025,0.99269,0.99184,0.99338,2,0,0
1.0026,0.99451,1.0016,1.0008,1,1,1
1.0001,0.99901,0.99719,1.0041,1,0,1
1.0001,0.99955,1.003,1.0047,2,1,1
1.0001,0.99941,1.0014,1.0039,1,1,1
1.0024,0.99696,1.0074,1.0082,1,1,1
1.0027,0.99571,0.99548,0.99044,2,0,0
1.0026,0.99481,0.99393,0.99171,2,0,0
1.0001,0.99895,0.9958,1.003,1,0,1
1.0001,0.9986,0.99185,0.99372,2,0,0
1.0001,0.99981,1.0162,0.99881,1,1,1
1.0001,0.99876,0.99223,1.0007,1,1,1
1.0001,0.99865,0.99169,1.0016,1,1,1
1.0001,0.99882,1.0018,0.99928,2,0,0
1.0001,0.99861,0.9969,0.99343,1,0,0
1.0001,0.99871,0.99984,0.99743,2,0,0
1.0001,0.99858,0.99345,0.99618,2,0,0
1.0023,0.99517,0.99592,0.99858,2,0,0
1.0001,0.99917,1.0013,0.99833,2,0,0
1.0001,0.99919,1.003,1.0005,2,1,0
1.0026,0.99862,1.0047,1.0035,1,1,1
1.0027,0.99518,0.99288,0.98862,2,0,0
1.0028,1.0032,1.006,1.0022,1,1,1
1.0001,0.99878,0.99885,0.99823,2,1,0
1.0026,0.99446,1.0024,0.99934,1,1,1
1.0001,0.99877,0.99267,0.995,1,0,0
1.0023,0.99145,1.0007,0.99891,1,1,1
1.0024,0.99418,0.99494,0.98858,1,0,0
1.0001,0.99937,1.0093,1.002,1,1,1
1.0001,0.99899,0.99945,1.0017,1,1,1
1.0001,0.99856,0.98998,0.99083,2,0,0
1.0029,0.99722,0.99488,0.9941,2,0,0
1.0001,0.99869,0.99487,0.99381,2,0,0
1.0023,0.99193,0.99197,0.98542,2,0,0
1.0001,0.99894,0.99602,1.0048,1,1,1
1.0025,0.99267,0.99446,0.99225,2,0,0
1.0001,0.99868,0.99272,1.0003,2,0,1
1.0001,0.99919,1.0057,1.0017,1,1,1
1.0025,0.99361,0.99415,0.99108,2,0,0
1.0028,0.99927,1.0013,1.0039,1,1,1
1.0024,0.99545,1.0044,1.0039,1,1,1
1.0001,0.99866,0.99663,0.99079,2,0,0
1.0001,0.99896,0.99891,1.0037,1,1,1
1.0028,0.99725,1,0.99486,2,0,0
1.0026,0.99451,1.0026,0.99612,2,0,0
1.0001,0.99856,0.98829,0.99235,2,1,0
1.0027,0.99953,1.0051,1.0022,1,1,1
1.0025,0.99621,1.0002,1.0039,1,0,1
1.0025,0.99068,0.98957,0.99161,2,1,0
1.0001,0.99891,0.99718,1.0007,1,0,1
1.0023,0.99228,0.99254,0.99637,2,0,0
1.0026,0.99358,0.99194,0.9958,1,0,0
1.0001,0.99944,1.0051,1.0042,1,0,1
1.0001,0.99912,1.005,1.0031,1,1,1
1.0026,0.99585,0.99999,0.99776,1,1,1
1.0001,0.99904,0.99891,1.0032,1,1,1
1.0001,0.99964,1.0119,1.0021,2,1,1
1.0001,0.99952,1.0088,1.0034,1,1,1
1.0001,0.99877,0.99101,1.0037,1,1,1
1.0001,0.9991,1.004,1.0037,1,0,1
1.0001,0.99952,1.0054,1.0043,1,1,1
1.0027,0.99896,1.0075,1.004,1,1,1
1.0001,0.99877,0.99174,1.0028,2,1,1
1.0023,0.98818,0.99632,0.99033,2,0,0
1.0027,0.99512,1.0014,0.99571,1,0,1
1.0025,0.99343,0.99587,0.99242,2,0,0
1.0025,0.9912,0.99348,0.99141,2,0,0
1.0001,0.99924,1.003,1.0032,1,0,1
1.0001,0.99866,0.99411,0.99158,2,1,0
1.0001,0.99851,0.98677,0.99249,2,0,0
1.0001,0.9987,0.99631,1.0019,1,1,1
1.0001,0.99878,0.99723,0.99262,1,0,0
1.0023,0.991,0.99833,1.0015,1,1,1
1.0028,1.0016,1.0025,1.0019,2,1,1
1.0001,0.99861,0.99416,0.99321,2,1,0
1.0026,0.99866,1.0077,1.0031,1,1,1
1.0001,0.99857,0.99205,0.99061,2,0,0
1.0001,0.99883,0.99255,1.0029,1,1,1
1.0025,0.99439,1.0022,1.0017,1,1,1
1.0001,0.99911,0.99672,1.0048,1,1,1
1.0027,0.99729,0.99691,0.99016,2,0,0
1.0001,0.99932,1.0016,1.0035,1,1,1
1.0023,0.99282,1.003,1.0051,1,1,1
1.0001,0.99858,0.98929,0.99304,2,0,0
1.0027,0.99997,1.0007,1.0014,1,1,1
1.0024,0.99191,0.99272,0.99589,2,0,0
1.0027,0.99875,1.0031,1.0019,1,1,1
1.0026,0.99692,1.0063,1.003,1,1,1
1.0024,0.99042,0.989,0.98958,2,0,0
1.0001,0.99862,0.99827,0.9941,2,0,0
1.0028,1.0016,1.0032,1.0022,1,0,1
1.0024,0.99414,1.0031,1.0014,1,1,1
1.0001,0.99887,0.99334,1.0007,1,1,1
1.0024,0.99637,0.99835,0.99588,2,0,0
1.0026,0.99508,0.9985,0.99975,1,1,1
1.0025,0.99106,0.99097,0.98878,2,0,0
1.0025,0.9935,0.99764,0.99126,2,0,0
1.0001,0.99931,1.0082,1.0024,2,1,1
1.0001,0.99877,0.99478,1.0011,1,1,1
1.0027,0.99757,1.0016,0.99809,1,1,1
1.0001,0.99928,1.0071,1.0023,1,1,1
1.0026,0.99651,0.99586,0.99316,2,0,0
1.0024,0.98944,0.99525,0.99022,2,0,0
1.0001,0.99863,0.99532,0.99714,2,0,0
1.0026,1.0007,1.0059,1.0002,1,1,1
1.0001,0.99883,0.99334,1.0027,1,1,1
1.0001,0.99867,0.99124,0.99464,2,0,0
1.0027,0.99437,0.99694,0.99328,2,0,0
1.0001,0.99886,0.99396,1.0041,1,1,1
1.0001,0.9994,1.0081,1.0021,2,1,1
1.0023,0.99434,0.99437,0.99012,2,0,0
1.0001,0.99925,0.99868,1.0041,2,1,1
1.0001,0.99958,1.0053,1.0025,1,1,1
1.0025,0.99095,0.99046,0.99168,2,0,0
1.0023,0.98675,0.99524,0.98942,2,0,0
1.0024,0.99595,0.99952,0.99374,2,1,0
1.0001,0.99925,1.0029,1.0035,2,1,1
1.0001,0.99876,0.99142,1.0034,1,1,1
1.0001,0.9986,0.99052,0.99474,1,0,0
1.0001,0.9991,0.99622,1.0019,1,1,1
1.0001,0.99856,0.99274,0.99007,2,1,0
1.0001,0.99977,1.0091,1.001,1,1,1
1.0001,0.9987,0.9955,0.99865,1,0,0
1.0001,0.99962,1.004,1.0036,1,1,1
1.0001,0.99896,0.99507,1.0031,1,1,1
1.0023,0.9867,0.99289,0.99615,2,0,0
1.0026,0.99423,0.99362,0.99458,2,0,0
1.0024,0.99006,0.99008,0.98461,2,0,0
1.0001,0.99954,1,1.0044,1,0,1
1.0001,0.99878,0.99765,0.9982,1,1,0
1.0025,0.99615,1.0012,0.99958,1,1,1
1.0028,0.99515,0.99597,0.99563,2,0,0
1.0025,0.99104,0.99681,0.99111,2,0,0
1.0001,0.99858,0.99112,0.99398,2,0,0
1.0001,0.9986,0.98875,0.99908,1,1,1
1.0001,0.99953,1.0043,1.0036,1,1,1
1.0027,0.99415,0.99938,0.99425,1,0,0
1.0023,0.99444,0.99737,0.99077,2,0,0
1.0001,0.99866,0.98955,1.0029,1,1,1
1.0001,0.9987,0.99454,1.001,1,1,1
1.0027,1.0012,1.0056,1.0023,1,1,1
1.0001,0.9986,0.98921,1.0002,1,1,1
1.0024,0.99143,0.99797,0.99187,2,0,0
1.0024,0.98931,0.99014,0.99106,2,0,0
1.0026,0.99483,0.99773,0.99068,2,0,0
1.0001,0.99908,0.99601,1.004,1,1,1
1.0001,0.99926,0.99832,1.004,1,1,1
1.0027,0.9956,0.9967,0.99655,1,1,1
1.0027,0.99577,0.99782,0.99907,2,0,0
1.0001,0.99975,1.0127,1.0007,1,0,1
1.0001,0.99891,0.99982,1.0038,1,1,1
1.0001,0.99867,0.99197,1.0009,1,1,1
1.0025,0.99066,0.98853,0.9931,2,0,0
1.0001,0.99858,0.9886,0.99207,2,0,0
1.0026,0.99659,0.99718,0.99492,2,0,0
1.0001,0.99956,1.0005,1.0044,1,1,1
1.0001,0.99939,1.0034,1.0009,2,0,0
1.0001,0.99937,1.0051,1.0034,1,1,1
1.0024,0.99598,0.99738,0.99155,2,0,0
1.0023,0.99204,1.0012,0.99742,2,0,0
1.0001,0.99966,1.0038,1.0029,1,1,1
1.0001,0.99918,0.99853,1.0033,1,1,1
1.0001,0.99877,0.99416,0.99122,2,0,0
1.0001,0.99886,0.99443,0.99784,2,0,0
1.0001,0.99944,1.0061,1.0037,1,1,1
1.0001,0.9995,1.0092,1.0025,1,1,1
1.0027,1.0009,1.0014,0.99775,1,1,1
1.0001,0.9987,0.99647,0.99721,2,0,0
1.0023,0.98816,0.98795,0.98823,2,0,0
1.0027,0.99797,1.0057,1,2,0,0
1.0001,0.99889,0.99493,1.0041,1,0,1
1.0026,0.9935,1.002,1.0051,1,1,1
1.0027,1.0007,1.0022,0.99783,1,1,1
1.0001,0.99863,0.99104,0.99048,2,0,0
1.0026,0.99334,0.99481,0.99238,2,0,0
1.0001,0.99962,1.0013,1.0048,1,1,1
1.0026,0.99875,1.0032,1.0012,1,1,1
1.0023,0.99177,1.0004,1.0023,2,1,0
1.0001,0.9986,0.99738,0.99447,2,0,0
1.0024,0.99209,1.0018,1.0003,2,1,1
1.0001,0.9997,1.0104,1.0026,1,0,0
1.0001,0.99947,1.0059,1.0039,1,1,1
1.0001,0.99931,1.0066,1.0026,1,1,1
1.0001,0.99952,1.0045,1.0039,1,1,1
1.0027,0.99754,1.0031,1.0045,1,1,1
1.0025,0.99092,0.98897,0.99226,1,0,0
1.0029,1.0001,1.0022,1.0027,1,0,1
1.0023,0.98812,0.98629,0.98521,2,0,0
1.0001,0.9988,0.99589,1.0011,1,1,1
1.0023,0.98978,0.99022,0.99397,2,1,0
1.0001,0.99905,1.0027,0.99569,2,0,0
1.0001,0.99863,0.98991,1,1,1,1
1.0001,0.99918,1.0042,1.0031,1,0,1
1.0001,0.99949,1.0085,1.0027,1,1,1
1.0025,0.99409,1.0014,0.99897,1,1,1
1.0001,0.99932,1.0019,1.0046,1,1,1
1.0024,0.99519,0.99644,0.99932,2,0,0
1.0001,0.99916,1.0024,0.99664,2,0,0
1.0026,0.99399,0.99398,0.99068,2,0,0
1.0025,0.99359,0.99368,0.99174,2,0,0
1.0027,0.99419,0.99533,0.9911,2,0,0
1.0001,0.99889,0.99313,1.0024,1,1,1
1.0028,0.99625,1.0028,1.0034,1,1,1
1.0001,0.99959,1.0078,1.0034,1,1,1
1.0001,0.99864,0.99517,0.99472,2,0,0
1.0001,0.99933,0.9987,1.0032,1,1,1
1.0029,0.99871,0.99883,1.0013,1,1,1
1.0024,0.99609,1.001,1.0014,1,1,1
1.0026,0.99603,1.0037,0.99893,1,1,1
1.0023,0.99356,0.99761,0.99968,1,1,1
1.0024,0.98946,0.99292,0.98967,2,0,0
1.0027,1.0014,1.0036,1.0031,1,1,1
1.0001,0.99878,0.99681,0.99421,2,0,0
1.0001,0.99883,0.99823,0.99255,2,0,0
1.0025,0.9951,0.9998,0.99907,2,1,1
1.0026,0.99281,0.99497,0.99763,2,0,0
1.0023,0.99167,0.99369,0.98727,2,0,0
1.0001,0.99939,1.003,1.0037,1,1,1
1.0001,0.99982,1.013,0.99746,1,1,1
1.0001,0.99962,1.0039,1.004,1,1,1
1.0001,0.99966,1.0094,0.99944,2,1,1
1.0023,0.98934,0.99198,0.99291,2,0,0
1.0028,0.99546,0.99394,0.99734,1,1,1
1.0001,0.99944,1.0024,1.0045,1,1,1
1.0026,0.99428,1.0026,0.9984,1,1,1
1.0029,0.99829,0.99883,0.99865,2,0,1
1.0001,0.9988,0.99689,0.993,2,0,0
1.0028,1.0013,1.0072,1.0049,2,0,1
1.0028,1.0004,1.0074,1.0042,1,1,1
1.0001,0.99933,0.99964,1.0034,1,0,1
1.0027,0.99891,0.99992,1.0028,1,1,1
1.0025,0.99093,0.99221,0.98822,2,0,0
1.0026,0.99951,1.0011,1.0002,2,1,1
1.0001,0.99866,0.99439,0.99014,2,0,0
1.0001,0.99885,0.99453,0.9966,2,1,0
1.0001,0.99927,1.0021,1.0024,1,1,1
1.0024,0.99573,1.0041,1.006,1,1,1
1.0001,0.99864,0.98947,1.001,1,1,1
1.0001,0.99873,0.99795,0.99557,2,0,0
