,n,k
0,0.1,0.0
1,0.1,0.1
2,0.1,0.2
3,0.1,0.30000000000000004
4,0.1,0.4
5,0.1,0.5
6,0.1,0.6000000000000001
7,0.1,0.7000000000000001
8,0.1,0.8
9,0.1,0.9
10,0.1,1.0
11,0.1,1.1
12,0.1,1.2000000000000002
13,0.1,1.3
14,0.1,1.4000000000000001
15,0.1,1.5
16,0.1,1.6
17,0.1,1.7000000000000002
18,0.1,1.8
19,0.1,1.9000000000000001
20,0.1,2.0
21,0.1,2.1
22,0.1,2.2
23,0.1,2.3000000000000003
24,0.1,2.4000000000000004
25,0.1,2.5
26,0.1,2.6
27,0.1,2.7
28,0.1,2.8000000000000003
29,0.1,2.9000000000000004
30,0.1,3.0
31,0.1,3.1
32,0.1,3.2
33,0.1,3.3000000000000003
34,0.1,3.4000000000000004
35,0.1,3.5
36,0.1,3.6
37,0.1,3.7
38,0.1,3.8000000000000003
39,0.1,3.9000000000000004
40,0.1,4.0
41,0.1,4.1000000000000005
42,0.1,4.2
43,0.1,4.3
44,0.1,4.4
45,0.1,4.5
46,0.1,4.6000000000000005
47,0.1,4.7
48,0.1,4.800000000000001
49,0.1,4.9
50,0.1,5.0
51,0.2,0.0
52,0.2,0.1
53,0.2,0.2
54,0.2,0.30000000000000004
55,0.2,0.4
56,0.2,0.5
57,0.2,0.6000000000000001
58,0.2,0.7000000000000001
59,0.2,0.8
60,0.2,0.9
61,0.2,1.0
62,0.2,1.1
63,0.2,1.2000000000000002
64,0.2,1.3
65,0.2,1.4000000000000001
66,0.2,1.5
67,0.2,1.6
68,0.2,1.7000000000000002
69,0.2,1.8
70,0.2,1.9000000000000001
71,0.2,2.0
72,0.2,2.1
73,0.2,2.2
74,0.2,2.3000000000000003
75,0.2,2.4000000000000004
76,0.2,2.5
77,0.2,2.6
78,0.2,2.7
79,0.2,2.8000000000000003
80,0.2,2.9000000000000004
81,0.2,3.0
82,0.2,3.1
83,0.2,3.2
84,0.2,3.3000000000000003
85,0.2,3.4000000000000004
86,0.2,3.5
87,0.2,3.6
88,0.2,3.7
89,0.2,3.8000000000000003
90,0.2,3.9000000000000004
91,0.2,4.0
92,0.2,4.1000000000000005
93,0.2,4.2
94,0.2,4.3
95,0.2,4.4
96,0.2,4.5
97,0.2,4.6000000000000005
98,0.2,4.7
99,0.2,4.800000000000001
100,0.2,4.9
101,0.2,5.0
102,0.30000000000000004,0.0
103,0.30000000000000004,0.1
104,0.30000000000000004,0.2
105,0.30000000000000004,0.30000000000000004
106,0.30000000000000004,0.4
107,0.30000000000000004,0.5
108,0.30000000000000004,0.6000000000000001
109,0.30000000000000004,0.7000000000000001
110,0.30000000000000004,0.8
111,0.30000000000000004,0.9
112,0.30000000000000004,1.0
113,0.30000000000000004,1.1
114,0.30000000000000004,1.2000000000000002
115,0.30000000000000004,1.3
116,0.30000000000000004,1.4000000000000001
117,0.30000000000000004,1.5
118,0.30000000000000004,1.6
119,0.30000000000000004,1.7000000000000002
120,0.30000000000000004,1.8
121,0.30000000000000004,1.9000000000000001
122,0.30000000000000004,2.0
123,0.30000000000000004,2.1
124,0.30000000000000004,2.2
125,0.30000000000000004,2.3000000000000003
126,0.30000000000000004,2.4000000000000004
127,0.30000000000000004,2.5
128,0.30000000000000004,2.6
129,0.30000000000000004,2.7
130,0.30000000000000004,2.8000000000000003
131,0.30000000000000004,2.9000000000000004
132,0.30000000000000004,3.0
133,0.30000000000000004,3.1
134,0.30000000000000004,3.2
135,0.30000000000000004,3.3000000000000003
136,0.30000000000000004,3.4000000000000004
137,0.30000000000000004,3.5
138,0.30000000000000004,3.6
139,0.30000000000000004,3.7
140,0.30000000000000004,3.8000000000000003
141,0.30000000000000004,3.9000000000000004
142,0.30000000000000004,4.0
143,0.30000000000000004,4.1000000000000005
144,0.30000000000000004,4.2
145,0.30000000000000004,4.3
146,0.30000000000000004,4.4
147,0.30000000000000004,4.5
148,0.30000000000000004,4.6000000000000005
149,0.30000000000000004,4.7
150,0.30000000000000004,4.800000000000001
151,0.30000000000000004,4.9
152,0.30000000000000004,5.0
153,0.4,0.0
154,0.4,0.1
155,0.4,0.2
156,0.4,0.30000000000000004
157,0.4,0.4
158,0.4,0.5
159,0.4,0.6000000000000001
160,0.4,0.7000000000000001
161,0.4,0.8
162,0.4,0.9
163,0.4,1.0
164,0.4,1.1
165,0.4,1.2000000000000002
166,0.4,1.3
167,0.4,1.4000000000000001
168,0.4,1.5
169,0.4,1.6
170,0.4,1.7000000000000002
171,0.4,1.8
172,0.4,1.9000000000000001
173,0.4,2.0
174,0.4,2.1
175,0.4,2.2
176,0.4,2.3000000000000003
177,0.4,2.4000000000000004
178,0.4,2.5
179,0.4,2.6
180,0.4,2.7
181,0.4,2.8000000000000003
182,0.4,2.9000000000000004
183,0.4,3.0
184,0.4,3.1
185,0.4,3.2
186,0.4,3.3000000000000003
187,0.4,3.4000000000000004
188,0.4,3.5
189,0.4,3.6
190,0.4,3.7
191,0.4,3.8000000000000003
192,0.4,3.9000000000000004
193,0.4,4.0
194,0.4,4.1000000000000005
195,0.4,4.2
196,0.4,4.3
197,0.4,4.4
198,0.4,4.5
199,0.4,4.6000000000000005
200,0.4,4.7
201,0.4,4.800000000000001
202,0.4,4.9
203,0.4,5.0
204,0.5,0.0
205,0.5,0.1
206,0.5,0.2
207,0.5,0.30000000000000004
208,0.5,0.4
209,0.5,0.5
210,0.5,0.6000000000000001
211,0.5,0.7000000000000001
212,0.5,0.8
213,0.5,0.9
214,0.5,1.0
215,0.5,1.1
216,0.5,1.2000000000000002
217,0.5,1.3
218,0.5,1.4000000000000001
219,0.5,1.5
220,0.5,1.6
221,0.5,1.7000000000000002
222,0.5,1.8
223,0.5,1.9000000000000001
224,0.5,2.0
225,0.5,2.1
226,0.5,2.2
227,0.5,2.3000000000000003
228,0.5,2.4000000000000004
229,0.5,2.5
230,0.5,2.6
231,0.5,2.7
232,0.5,2.8000000000000003
233,0.5,2.9000000000000004
234,0.5,3.0
235,0.5,3.1
236,0.5,3.2
237,0.5,3.3000000000000003
238,0.5,3.4000000000000004
239,0.5,3.5
240,0.5,3.6
241,0.5,3.7
242,0.5,3.8000000000000003
243,0.5,3.9000000000000004
244,0.5,4.0
245,0.5,4.1000000000000005
246,0.5,4.2
247,0.5,4.3
248,0.5,4.4
249,0.5,4.5
250,0.5,4.6000000000000005
251,0.5,4.7
252,0.5,4.800000000000001
253,0.5,4.9
254,0.5,5.0
255,0.6,0.0
256,0.6,0.1
257,0.6,0.2
258,0.6,0.30000000000000004
259,0.6,0.4
260,0.6,0.5
261,0.6,0.6000000000000001
262,0.6,0.7000000000000001
263,0.6,0.8
264,0.6,0.9
265,0.6,1.0
266,0.6,1.1
267,0.6,1.2000000000000002
268,0.6,1.3
269,0.6,1.4000000000000001
270,0.6,1.5
271,0.6,1.6
272,0.6,1.7000000000000002
273,0.6,1.8
274,0.6,1.9000000000000001
275,0.6,2.0
276,0.6,2.1
277,0.6,2.2
278,0.6,2.3000000000000003
279,0.6,2.4000000000000004
280,0.6,2.5
281,0.6,2.6
282,0.6,2.7
283,0.6,2.8000000000000003
284,0.6,2.9000000000000004
285,0.6,3.0
286,0.6,3.1
287,0.6,3.2
288,0.6,3.3000000000000003
289,0.6,3.4000000000000004
290,0.6,3.5
291,0.6,3.6
292,0.6,3.7
293,0.6,3.8000000000000003
294,0.6,3.9000000000000004
295,0.6,4.0
296,0.6,4.1000000000000005
297,0.6,4.2
298,0.6,4.3
299,0.6,4.4
300,0.6,4.5
301,0.6,4.6000000000000005
302,0.6,4.7
303,0.6,4.800000000000001
304,0.6,4.9
305,0.6,5.0
306,0.7000000000000001,0.0
307,0.7000000000000001,0.1
308,0.7000000000000001,0.2
309,0.7000000000000001,0.30000000000000004
310,0.7000000000000001,0.4
311,0.7000000000000001,0.5
312,0.7000000000000001,0.6000000000000001
313,0.7000000000000001,0.7000000000000001
314,0.7000000000000001,0.8
315,0.7000000000000001,0.9
316,0.7000000000000001,1.0
317,0.7000000000000001,1.1
318,0.7000000000000001,1.2000000000000002
319,0.7000000000000001,1.3
320,0.7000000000000001,1.4000000000000001
321,0.7000000000000001,1.5
322,0.7000000000000001,1.6
323,0.7000000000000001,1.7000000000000002
324,0.7000000000000001,1.8
325,0.7000000000000001,1.9000000000000001
326,0.7000000000000001,2.0
327,0.7000000000000001,2.1
328,0.7000000000000001,2.2
329,0.7000000000000001,2.3000000000000003
330,0.7000000000000001,2.4000000000000004
331,0.7000000000000001,2.5
332,0.7000000000000001,2.6
333,0.7000000000000001,2.7
334,0.7000000000000001,2.8000000000000003
335,0.7000000000000001,2.9000000000000004
336,0.7000000000000001,3.0
337,0.7000000000000001,3.1
338,0.7000000000000001,3.2
339,0.7000000000000001,3.3000000000000003
340,0.7000000000000001,3.4000000000000004
341,0.7000000000000001,3.5
342,0.7000000000000001,3.6
343,0.7000000000000001,3.7
344,0.7000000000000001,3.8000000000000003
345,0.7000000000000001,3.9000000000000004
346,0.7000000000000001,4.0
347,0.7000000000000001,4.1000000000000005
348,0.7000000000000001,4.2
349,0.7000000000000001,4.3
350,0.7000000000000001,4.4
351,0.7000000000000001,4.5
352,0.7000000000000001,4.6000000000000005
353,0.7000000000000001,4.7
354,0.7000000000000001,4.800000000000001
355,0.7000000000000001,4.9
356,0.7000000000000001,5.0
357,0.8,0.0
358,0.8,0.1
359,0.8,0.2
360,0.8,0.30000000000000004
361,0.8,0.4
362,0.8,0.5
363,0.8,0.6000000000000001
364,0.8,0.7000000000000001
365,0.8,0.8
