neff,"Aeff
(um^2)","dispersion
(ps/km.nm)","conf-loss
(dB/cm)"
1.46005,2.2344,96.0555,3.48E-21
1.46079,2.22102,93.6874,3.73E-21
1.46144,2.20878,91.4083,1.94E-21
1.40033,4.00347,71.9984,1.81E-08
1.41371,3.72019,98.9131,2.59E-10
1.42364,3.52603,107.494,6.04E-12
1.43119,3.384,110.622,2.19E-13
1.43706,3.27532,110.916,1.18E-14
1.4417,3.18938,109.69,9.04E-16
1.44543,3.11967,107.634,9.41E-17
1.44847,3.06196,105.136,1.28E-17
1.45099,3.0134,102.421,2.16E-18
1.45309,2.97195,99.6179,4.46E-19
1.45486,2.93616,96.8115,1.08E-19
1.45637,2.90495,94.0447,2.60E-20
1.45767,2.87747,91.3518,8.48E-22
1.45879,2.85311,88.7484,4.42E-22
1.45977,2.83135,86.2411,4.24E-21
1.46063,2.8118,83.8369,2.27E-22
1.46138,2.79414,81.5361,1.89E-21
1.46205,2.7781,79.3329,6.23E-22
1.46264,2.76347,77.2286,3.03E-21
1.46318,2.75007,75.2179,7.84E-22
1.41153,4.65088,81.3708,5.00E-10
1.423,4.3716,97.4526,7.19E-12
1.43144,4.17539,100.405,1.79E-13
1.43782,4.02955,100.339,7.26E-15
1.44275,3.91674,98.7691,4.50E-16
1.44663,3.8268,96.4467,4.03E-17
1.44975,3.75341,93.7613,4.91E-18
1.45228,3.69238,90.9327,7.67E-19
1.45438,3.64081,88.0776,1.54E-19
1.45612,3.59666,85.2655,2.89E-20
1.45759,3.55844,82.5361,4.73E-21
1.45884,3.52503,79.909,1.88E-21
1.45991,3.49557,77.3965,1.14E-21
1.46084,3.4694,74.9987,1.23E-22
1.46165,3.44599,72.7173,1.25E-22
1.46235,3.42493,70.5467,1.62E-21
1.46297,3.40588,68.4872,1.47E-21
1.46352,3.38857,66.5287,1.37E-21
1.46401,3.37276,64.6671,2.90E-22
1.46445,3.35827,62.8979,1.67E-21
1.23007,2.69192,940.964,17.1902
1.25511,1.67561,836.846,1.08994
1.27991,1.26066,587.079,0.0514149
1.30255,1.04643,347.089,0.00220534
1.32239,0.918597,158.07,9.63E-05
1.33944,0.834291,20.2543,4.57E-06
1.35399,0.774529,77.2179,2.40E-07
1.3664,0.729851,145.501,1.39E-08
1.37701,0.695086,193.302,8.80E-10
1.38613,0.667195,226.82,6.14E-11
1.394,0.644276,250.318,4.70E-12
1.40084,0.625077,266.716,3.95E-13
1.4068,0.608741,278.012,3.64E-14
1.41204,0.59466,285.603,3.66E-15
1.41666,0.582388,290.456,4.01E-16
1.42075,0.571591,293.274,4.77E-17
1.42439,0.562015,294.563,6.17E-18
1.42764,0.55346,294.691,8.47E-19
1.43056,0.545769,293.933,1.55E-19
1.43319,0.538816,292.504,1.27E-20
1.2757,2.04869,505.529,0.0690403
1.30419,1.61516,262.087,0.00136042
1.3283,1.3864,83.1932,2.79E-05
1.34817,1.24634,35.1958,6.46E-07
1.36445,1.15163,111.139,1.74E-08
1.37784,1.08305,159.627,5.47E-10
1.38891,1.0309,190.644,2.01E-11
1.39815,0.989799,210.459,8.56E-13
1.40592,0.956505,222.944,4.20E-14
1.41251,0.928951,230.542,2.37E-15
1.41815,0.905749,234.816,1.52E-16
1.423,0.885932,236.787,1.11E-17
1.4272,0.868802,237.142,8.33E-19
1.43087,0.853844,236.351,1.05E-19
1.43409,0.840666,234.74,3.23E-20
1.43693,0.828967,232.552,2.55E-20
1.43945,0.818509,229.95,3.41E-20
1.44169,0.809105,227.06,2.39E-20
1.4437,0.800602,223.971,1.16E-20
1.4455,0.792877,220.753,9.92E-21
1.31558,2.14832,148.128,0.000184679
1.34162,1.85078,2.78677,1.86E-06
1.36215,1.67178,87.6416,2.32E-08
1.37837,1.55162,136.912,3.62E-10
1.3913,1.46493,165.588,7.02E-12
1.40173,1.39917,182.191,1.68E-13
1.41024,1.34746,191.509,4.89E-15
1.41727,1.30565,196.31,1.72E-16
1.42314,1.27112,198.223,7.31E-18
1.42809,1.2421,198.257,3.81E-19
1.43229,1.21735,197.048,2.76E-20
1.4359,1.19599,195.016,1.96E-20
1.43902,1.17735,192.438,4.00E-20
1.44173,1.16096,189.504,4.56E-21
1.4441,1.14641,186.346,3.63E-21
1.44618,1.13343,183.058,1.30E-20
1.44803,1.12175,179.701,1.08E-20
1.44966,1.1112,176.326,5.94E-21
1.45113,1.10162,172.963,1.27E-20
1.45244,1.09287,169.636,2.35E-22
1.34657,2.45792,15.0059,6.00E-07
1.36888,2.20714,96.4599,3.89E-09
1.38589,2.04412,134.447,3.41E-11
1.39904,1.92896,154.466,4.00E-13
1.40937,1.84293,164.708,6.18E-15
1.41763,1.77608,169.413,1.24E-16
1.42432,1.72255,170.86,3.22E-18
1.42981,1.67869,170.334,1.10E-19
1.43437,1.64207,168.596,1.58E-20
1.43821,1.61103,166.109,2.84E-20
1.44145,1.58438,163.169,1.20E-20
1.44423,1.56123,159.964,1.35E-21
1.44662,1.54095,156.617,1.50E-20
1.4487,1.52302,153.216,6.20E-21
1.45051,1.50706,149.812,1.72E-22
1.4521,1.49275,146.446,2.26E-20
1.45351,1.47985,143.141,7.44E-21
1.45475,1.46816,139.912,7.87E-21
1.45587,1.45752,136.77,6.96E-21
1.45686,1.44778,133.723,4.96E-21
1.36972,2.87168,79.2043,2.70E-09
1.38859,2.63819,123.865,1.25E-11
1.40271,2.47926,140.405,8.39E-14
1.4135,2.36358,147.75,8.04E-16
1.4219,2.27541,150.239,1.07E-17
1.42858,2.20588,150.049,1.46E-19
1.43396,2.14961,148.343,4.36E-20
1.43836,2.10311,145.767,4.66E-20
1.44201,2.06404,142.707,3.47E-21
1.44506,2.03073,139.391,1.75E-20
1.44764,2.00201,135.966,9.11E-21
1.44985,1.97697,132.515,4.39E-21
1.45174,1.95495,129.102,4.32E-21
1.45338,1.93543,125.758,1.78E-21
1.45481,1.91801,122.504,7.72E-21
1.45607,1.90237,119.356,3.90E-21
1.45717,1.88824,116.319,6.67E-22
1.45815,1.87541,113.394,2.63E-21
1.45903,1.86371,110.584,1.93E-21
1.45981,1.853,107.885,1.84E-22
1.38714,3.35919,101.311,1.74E-11
1.40316,3.13069,126.888,6.19E-14
1.415,2.97065,133.239,3.44E-16
1.42397,2.85198,134.71,2.90E-18
1.43093,2.76035,133.69,5.08E-20
1.43643,2.68741,131.356,4.91E-20
1.44085,2.62794,128.344,2.24E-20
1.44445,2.57853,124.997,3.19E-21
1.44743,2.5368,121.513,4.36E-21
1.44992,2.5011,118.009,3.38E-21
1.45202,2.4702,114.558,2.01E-20
1.45381,2.4432,111.198,5.25E-21
1.45535,2.41939,107.954,3.36E-21
1.45668,2.39824,104.833,3.26E-21
1.45784,2.37933,101.844,1.42E-20
1.45885,2.36231,98.9852,2.47E-21
1.45974,2.34691,96.2566,1.22E-20
1.46053,2.33291,93.6506,8.57E-22
1.46124,2.32013,91.1639,3.60E-21
1.46187,2.30841,88.7918,5.92E-22
1.40054,3.91181,105.818,1.55E-13
1.41423,3.68233,121.015,4.56E-16
1.42426,3.51859,122.237,2.25E-18
1.43183,3.39566,120.834,1.04E-20
1.43768,3.29993,118.164,1.99E-20
1.44228,3.22323,114.899,2.30E-20
1.44597,3.16041,111.386,6.99E-21
1.44897,3.10801,107.815,6.87E-21
1.45145,3.06364,104.291,7.03E-21
1.45351,3.02558,100.868,3.83E-21
1.45526,2.99258,97.5765,4.70E-21
1.45674,2.9637,94.4288,8.66E-21
1.45801,2.9382,91.432,2.46E-22
1.4591,2.91553,88.5819,1.34E-21
1.46006,2.89524,85.878,1.53E-21
1.4609,2.87698,83.3124,8.16E-22
1.46163,2.86045,80.8799,8.22E-22
1.46228,2.84542,78.5697,3.00E-22
1.46286,2.83169,76.3776,2.99E-21
1.46338,2.8191,74.2941,5.63E-23
1.33461,4.52888,523.617,52.4559
1.34663,2.69737,541.744,10.5519
1.35868,1.93463,445.856,1.70221
1.37008,1.55279,317.074,0.249548
1.38044,1.33252,197.534,0.0365308
1.38965,1.19217,99.1345,0.00566158
1.39773,1.09602,22.2678,0.00095465
1.40479,1.02641,36.2671,0.000176733
1.41095,0.973765,80.2738,3.60E-05
1.41634,0.932556,113.147,8.03E-06
1.42105,0.899381,137.605,1.96E-06
1.4252,0.872059,155.733,5.22E-07
1.42886,0.84913,169.1,1.51E-07
1.4321,0.829585,178.872,4.71E-08
1.43498,0.812705,185.918,1.58E-08
1.43755,0.797961,190.88,5.69E-09
1.43985,0.784961,194.242,2.18E-09
1.44192,0.773402,196.371,8.85E-10
1.44378,0.76305,197.538,3.80E-10
1.34441,4.5085,439.526,11.4012
1.3595,2.95806,349.603,1.17749
1.37353,2.29287,220.323,0.10598
1.38585,1.94409,109.29,0.00986938
1.39638,1.73484,25.905,0.00102947
1.40528,1.59688,33.602,0.00012388
1.41279,1.49939,75.1786,0.000017313
1.41914,1.42683,103.957,2.80E-06
1.42454,1.37062,123.761,5.21E-07
1.42914,1.32569,137.286,1.11E-07
1.4331,1.28889,146.401,2.65E-08
1.43653,1.25814,152.387,7.09E-09
1.4395,1.23202,156.14,2.10E-09
1.4421,1.20954,158.28,6.86E-10
1.44439,1.18996,159.245,2.44E-10
1.44641,1.17275,159.35,9.35E-11
1.44821,1.1575,158.822,3.85E-11
1.44981,1.14388,157.828,1.69E-11
1.45124,1.13163,156.488,7.89E-12
1.45252,1.12057,154.897,3.87E-12
1.36595,3.71901,241.962,0.314931
1.38171,2.93189,118.538,0.0176578
1.39488,2.52691,28.3722,0.0011279
1.40566,2.285,31.998,8.78E-05
1.41445,2.12498,71.1168,8.46E-06
1.42164,2.01118,96.1496,1.00E-06
1.42757,1.92587,112.027,1.45E-07
1.43251,1.85933,121.941,2.50E-08
1.43665,1.80584,127.927,5.10E-09
1.44015,1.76182,131.295,1.21E-09
1.44313,1.72489,132.896,3.25E-10
1.4457,1.69344,133.285,9.89E-11
1.44792,1.6663,132.842,3.34E-11
1.44985,1.64264,131.82,1.24E-11
1.45154,1.6218,130.4,5.01E-12
1.45303,1.60331,128.706,2.18E-12
1.45434,1.58678,126.827,1.01E-12
1.45552,1.57192,124.829,4.96E-13
1.45656,1.55847,122.758,2.57E-13
1.4575,1.54625,120.648,1.39E-13
1.38476,3.83856,84.8364,0.00803155
1.39925,3.29281,0.379817,0.000345182
1.41069,2.97881,49.0194,1.97E-05
1.41973,2.77527,78.404,1.50E-06
1.42692,2.63216,95.6576,1.49E-07
1.43272,2.52562,105.592,1.91E-08
1.43744,2.44292,111.05,3.06E-09
1.44134,2.37669,113.718,5.96E-10
1.44458,2.32235,114.618,1.38E-10
1.44731,2.27688,114.382,3.74E-11
1.44963,2.23825,113.408,1.15E-11
1.45161,2.20499,111.956,3.99E-12
1.45332,2.17604,110.198,1.53E-12
1.4548,2.1506,108.249,6.39E-13
1.4561,2.12805,106.186,2.88E-13
1.45724,2.10793,104.068,1.39E-13
1.45824,2.08986,101.928,7.08E-14
1.45913,2.07353,99.7955,3.81E-14
1.45993,2.0587,97.6859,2.14E-14
1.46064,2.04517,95.6145,1.25E-14
1.39981,4.27761,1.62517,0.00026189
1.41255,3.83283,50.0929,1.03E-05
1.42229,3.55696,75.6237,5.88E-07
1.42982,3.3683,89.3523,4.75E-08
1.43575,3.23047,96.45,5.23E-09
1.44047,3.12495,99.7434,7.56E-10
1.4443,3.04135,100.8,1.38E-10
1.44743,2.97336,100.516,3.09E-11
1.45003,2.91691,99.4159,8.21E-12
1.45221,2.86925,97.8252,2.53E-12
1.45406,2.82845,95.9402,8.83E-13
1.45563,2.79311,93.8913,3.43E-13
1.45699,2.76219,91.7586,1.46E-13
1.45816,2.73491,89.5992,6.74E-14
1.45918,2.71065,87.4481,3.32E-14
1.46008,2.68892,85.3275,1.74E-14
1.46087,2.66936,83.2543,9.56E-15
1.46158,2.65164,81.237,5.51E-15
1.4622,2.63551,79.2811,3.30E-15
1.46276,2.62077,77.3908,2.05E-15
1.41161,4.89199,37.6818,1.19E-05
1.42264,4.49403,68.8874,4.71E-07
1.43091,4.23409,81.6005,2.89E-08
1.43724,4.04992,87.5025,2.60E-09
1.44217,3.91201,89.7578,3.26E-10
1.44608,3.80458,89.9989,5.40E-11
1.44923,3.71839,89.1071,1.13E-11
1.4518,3.64761,87.5709,2.89E-12
1.45393,3.58843,85.6782,8.71E-13
1.4557,3.53818,83.5972,3.01E-13
1.45721,3.49496,81.4339,1.17E-13
1.45848,3.4574,79.251,4.99E-14
1.45958,3.42444,77.0908,2.31E-14
1.46053,3.39528,74.9764,1.15E-14
1.46136,3.3693,72.9235,6.09E-15
1.46209,3.34601,70.9401,3.40E-15
1.46273,3.32499,69.0324,1.98E-15
1.46329,3.30594,67.1995,1.20E-15
1.4638,3.28859,65.4418,7.59E-16
1.46425,3.27272,63.7576,4.93E-16
1.42079,5.62273,54.6349,7.57E-07
1.43034,5.24666,73.7027,3.21E-08
1.43742,4.99195,79.5317,2.19E-09
1.44278,4.80703,81.4165,2.25E-10
1.44694,4.66621,81.2702,3.24E-11
1.45022,4.55519,80.0587,6.16E-12
1.45286,4.46531,78.2856,1.47E-12
1.45501,4.391,76.2301,4.23E-13
1.45678,4.32851,74.053,1.42E-13
1.45825,4.27522,71.8434,5.39E-14
1.4595,4.22922,69.6573,2.28E-14
1.46056,4.18911,67.5245,1.05E-14
1.46147,4.15382,65.4639,5.23E-15
1.46226,4.12252,63.4832,2.77E-15
1.46294,4.09458,61.5887,1.55E-15
1.46354,4.06947,59.7801,9.10E-16
1.46406,4.04679,58.0553,5.57E-16
1.46453,4.0262,56.4114,3.54E-16
1.46495,4.00741,54.8488,2.32E-16
1.46532,3.99021,53.3584,1.57E-16
