neff,"Aeff
(um^2)","dispersion
(ps/km.nm)","conf-loss
(dB/cm)"
1.394,0.644276,250.317,8.63E-09
1.40084,0.625077,266.716,1.20E-09
1.4068,0.608741,278.013,1.79E-10
1.41204,0.59466,285.602,2.86E-11
1.41666,0.582388,290.456,4.92E-12
1.42075,0.571591,293.274,9.03E-13
1.42439,0.562015,294.562,1.77E-13
1.42764,0.55346,294.691,3.70E-14
1.43056,0.545769,293.935,8.22E-15
1.43319,0.538816,292.504,1.94E-15
1.2757,2.05082,503.802,1.00353
1.30419,1.61524,262.009,0.0449577
1.3283,1.3864,83.1939,0.00205596
1.34817,1.24634,35.1981,0.000102896
1.36445,1.15163,111.138,5.77E-06
1.37784,1.08305,159.625,3.64E-07
1.38891,1.0309,190.647,2.60E-08
1.39815,0.989799,210.459,2.09E-09
1.40592,0.956505,222.944,1.89E-10
1.41251,0.928951,230.544,1.91E-11
1.41815,0.905749,234.816,2.15E-12
1.423,0.885932,236.786,2.68E-13
1.4272,0.868802,237.142,3.69E-14
1.43087,0.853844,236.351,5.61E-15
1.43409,0.840666,234.741,9.34E-16
1.43693,0.828967,232.552,1.70E-16
1.43945,0.818509,229.95,3.39E-17
1.44169,0.809105,227.06,7.31E-18
1.4437,0.800602,223.971,1.74E-18
1.4455,0.792877,220.753,4.02E-19
1.31558,2.14834,148.118,0.00900341
1.34162,1.85078,2.78652,0.000231594
1.36215,1.67178,87.6389,6.98E-06
1.37837,1.55162,136.911,2.51E-07
1.3913,1.46493,165.588,1.08E-08
1.40173,1.39917,182.191,5.49E-10
1.41024,1.34746,191.509,3.29E-11
1.41727,1.30565,196.31,2.30E-12
1.42314,1.27112,198.222,1.87E-13
1.42809,1.2421,198.257,1.75E-14
1.43229,1.21735,197.048,1.88E-15
1.4359,1.19599,195.015,2.31E-16
1.43902,1.17735,192.438,3.23E-17
1.44173,1.16096,189.505,5.09E-18
1.4441,1.14641,186.346,9.29E-19
1.44618,1.13343,183.058,1.95E-19
1.44803,1.12175,179.701,2.50E-20
1.44966,1.1112,176.325,4.01E-21
1.45113,1.10162,172.961,1.16E-20
1.45244,1.09287,169.635,1.07E-20
1.34657,2.45792,15.0029,9.11E-05
1.36888,2.20714,96.4607,1.63E-06
1.38589,2.04412,134.449,3.72E-08
1.39904,1.92896,154.466,1.07E-09
1.40937,1.84293,164.708,3.86E-11
1.41763,1.77608,169.413,1.72E-12
1.42432,1.72255,170.86,9.43E-14
1.42981,1.67869,170.334,6.27E-15
1.43437,1.64207,168.597,5.02E-16
1.43821,1.61103,166.109,4.81E-17
1.44145,1.58438,163.169,5.50E-18
1.44423,1.56123,159.963,7.55E-19
1.44662,1.54095,156.62,1.02E-19
1.4487,1.52302,153.215,3.59E-21
1.45051,1.50706,149.812,1.71E-20
1.4521,1.49275,146.447,1.44E-21
1.45351,1.47985,143.141,3.58E-21
1.45475,1.46816,139.912,7.48E-21
1.45587,1.45752,136.77,1.03E-21
1.45686,1.44778,133.723,7.06E-22
1.36972,2.87168,79.2054,1.19E-06
1.38859,2.63819,123.866,1.62E-08
1.40271,2.47926,140.406,3.00E-10
1.4135,2.36358,147.751,7.41E-12
1.4219,2.27541,150.239,2.41E-13
1.42858,2.20588,150.049,1.01E-14
1.43396,2.14961,148.34,5.44E-16
1.43836,2.10311,145.767,3.70E-17
1.44201,2.06404,142.707,3.15E-18
1.44506,2.03073,139.392,3.39E-19
1.44764,2.00201,135.964,3.91E-20
1.44985,1.97697,132.515,1.13E-20
1.45174,1.95495,129.101,1.05E-20
1.45338,1.93543,125.757,2.88E-21
1.45481,1.91801,122.504,6.55E-21
1.45607,1.90237,119.356,3.97E-21
1.45717,1.88824,116.319,5.36E-21
1.45815,1.87541,113.394,9.09E-21
1.45903,1.86371,110.583,2.53E-21
1.45981,1.853,107.885,1.09E-21
1.38714,3.35919,101.31,2.05E-08
1.40316,3.13069,126.889,2.29E-10
1.415,2.97065,133.238,3.66E-12
1.42397,2.85198,134.71,8.26E-14
1.43093,2.76035,133.69,2.57E-15
1.43643,2.68741,131.358,1.09E-16
1.44085,2.62794,128.344,6.14E-18
1.44445,2.57853,124.996,4.46E-19
1.44743,2.5368,121.513,4.10E-20
1.44992,2.5011,118.009,7.30E-21
1.45202,2.4702,114.558,1.16E-20
1.45381,2.4432,111.198,1.57E-20
1.45535,2.41939,107.954,6.02E-21
1.45668,2.39824,104.833,1.60E-20
1.45784,2.37933,101.844,7.28E-21
1.45885,2.36231,98.985,1.77E-20
1.45974,2.34691,96.2562,1.90E-21
1.46053,2.33291,93.6508,8.65E-22
1.46124,2.32013,91.1639,1.70E-21
1.46187,2.30841,88.7918,4.76E-21
1.40054,3.91181,105.818,4.70E-10
1.41423,3.68233,121.015,4.52E-12
1.42426,3.51859,122.236,6.65E-14
1.43183,3.39566,120.834,1.46E-15
1.43768,3.29993,118.164,4.67E-17
1.44228,3.22323,114.899,2.11E-18
1.44597,3.16041,111.387,1.00E-19
1.44897,3.10801,107.815,1.92E-21
1.45145,3.06364,104.291,8.60E-21
1.45351,3.02558,100.867,1.60E-20
1.45526,2.99258,97.5758,5.64E-22
1.45674,2.9637,94.4277,1.70E-21
1.45801,2.9382,91.4311,8.24E-21
1.4591,2.91553,88.5819,2.97E-21
1.46006,2.89524,85.878,1.14E-21
1.4609,2.87698,83.3126,2.55E-21
1.46163,2.86045,80.8799,2.43E-21
1.46228,2.84542,78.5697,3.03E-21
1.46286,2.83169,76.3776,5.37E-22
1.46338,2.8191,74.2941,2.13E-21
1.17525,2.06157,1133.25,32.5492
1.20811,1.33385,945.531,2.41943
1.23975,1.03229,617.932,0.135781
1.26808,0.870379,329.758,0.00704815
1.29255,0.770391,115.036,0.00037487
1.31338,0.702664,35.6122,2.06E-05
1.33103,0.653671,139.228,1.19E-06
1.34602,0.616481,210.279,7.41E-08
1.3588,0.587212,259.111,4.98E-09
1.36974,0.563524,292.741,3.58E-10
1.37918,0.543928,315.845,2.72E-11
1.38736,0.527425,331.564,2.18E-12
1.3945,0.513323,342.017,1.84E-13
1.40075,0.501124,348.665,1.62E-14
1.40626,0.49046,352.532,1.51E-15
1.41114,0.481053,354.346,1.47E-16
1.41549,0.472692,354.623,1.52E-17
1.41937,0.465207,353.755,1.66E-18
1.42285,0.458466,352.021,2.62E-19
1.42598,0.452362,349.635,1.72E-19
1.23426,1.67025,541.946,0.178995
1.26995,1.34356,245.816,0.00445335
1.29965,1.16382,43.7305,0.000111523
1.32388,1.05038,84.1759,3.04E-06
1.34359,0.972019,163.695,9.24E-08
1.35971,0.914415,213.218,3.11E-09
1.37302,0.870145,244.142,1.15E-10
1.38409,0.834979,263.329,4.65E-12
1.39339,0.806325,274.936,2.04E-13
1.40127,0.7825,281.533,9.72E-15
1.408,0.762364,284.755,5.00E-16
